,eid,timestamp,activity,Customer_Order,Transport_Document,Vehicle,Container
0,reg_co1,2023-05-22T11:54:42.000Z,Register Customer Order,['co1'],,,
1,reg_co2,2023-05-22T18:33:30.000Z,Register Customer Order,['co2'],,,
2,create_td1,2023-05-23T08:22:17.000Z,Create Transport Document,['co2'],['td1'],,
3,book_vehs_td1,2023-05-23T10:05:16.000Z,Book Vehicles,,['td1'],"['vh1', 'vh4']",
4,reg_co3,2023-05-23T12:14:57.000Z,Register Customer Order,['co3'],,,
5,order_crs_td1,2023-05-23T13:22:08.000Z,Order Empty Containers,,['td1'],,"['cr1', 'cr2', 'cr3', 'cr4', 'cr5']"
6,reg_co4,2023-05-23T18:34:15.000Z,Register Customer Order,['co4'],,,
7,reg_co5,2023-05-24T12:16:04.000Z,Register Customer Order,['co5'],,,
8,reg_co6,2023-05-24T18:37:36.000Z,Register Customer Order,['co6'],,,
9,collect_hu1,2023-05-24T19:02:38.000Z,Collect Goods,,,,
10,pick_cr2,2023-05-24T19:02:38.000Z,Pick Up Empty Container,,,,['cr2']
11,pick_cr3,2023-05-25T00:23:40.000Z,Pick Up Empty Container,,,,['cr3']
12,collect_hu9,2023-05-25T05:03:58.000Z,Collect Goods,,,,
13,collect_hu5,2023-05-25T05:05:26.000Z,Collect Goods,,,,
14,collect_hu12,2023-05-25T05:14:13.000Z,Collect Goods,,,,
15,collect_hu11,2023-05-25T05:21:22.000Z,Collect Goods,,,,
16,collect_hu8,2023-05-25T05:32:38.000Z,Collect Goods,,,,
17,collect_hu2,2023-05-25T05:33:42.000Z,Collect Goods,,,,
18,collect_hu4,2023-05-25T05:36:20.000Z,Collect Goods,,,,
19,collect_hu3,2023-05-25T05:39:41.000Z,Collect Goods,,,,
20,load_truck_hu4,2023-05-25T05:43:08.000Z,Load Truck,,,,['cr2']
21,load_truck_hu1,2023-05-25T05:46:53.000Z,Load Truck,,,,['cr2']
22,collect_hu7,2023-05-25T05:49:30.000Z,Collect Goods,,,,
23,load_truck_hu5,2023-05-25T05:51:14.000Z,Load Truck,,,,['cr2']
24,collect_hu6,2023-05-25T05:55:43.000Z,Collect Goods,,,,
25,load_truck_hu2,2023-05-25T05:56:03.000Z,Load Truck,,,,['cr2']
26,load_truck_hu3,2023-05-25T05:57:13.000Z,Load Truck,,,,['cr2']
27,collect_hu10,2023-05-25T06:58:06.000Z,Collect Goods,,,,
28,load_truck_hu6,2023-05-25T06:59:27.000Z,Load Truck,,,,['cr2']
29,load_truck_hu9,2023-05-25T07:37:58.000Z,Load Truck,,,,['cr3']
30,load_truck_hu8,2023-05-25T07:41:41.000Z,Load Truck,,,,['cr3']
31,load_truck_hu12,2023-05-25T07:42:57.000Z,Load Truck,,,,['cr3']
32,load_truck_hu11,2023-05-25T07:43:57.000Z,Load Truck,,,,['cr3']
33,load_truck_hu10,2023-05-25T07:45:13.000Z,Load Truck,,,,['cr3']
34,load_truck_hu7,2023-05-25T07:46:38.000Z,Load Truck,,,,['cr3']
35,drive_term_cr2,2023-05-25T08:40:46.000Z,Drive to Terminal,,,,['cr2']
36,weigh_cr2,2023-05-25T08:41:35.000Z,Weigh,,,,['cr2']
37,stock_cr2,2023-05-25T08:45:03.000Z,Place in Stock,,,,['cr2']
38,drive_term_cr3,2023-05-25T09:17:50.000Z,Drive to Terminal,,,,['cr3']
39,weigh_cr3,2023-05-25T09:19:35.000Z,Weigh,,,,['cr3']
40,stock_cr3,2023-05-25T09:21:37.000Z,Place in Stock,,,,['cr3']
41,reg_co7,2023-05-25T12:21:06.000Z,Register Customer Order,['co7'],,,
42,create_td2,2023-05-25T13:59:21.000Z,Create Transport Document,['co7'],['td2'],,
43,book_vehs_td2,2023-05-25T15:29:35.000Z,Book Vehicles,,['td2'],['vh6'],
44,reg_co8,2023-05-25T18:52:42.000Z,Register Customer Order,['co8'],,,
45,create_td3,2023-05-26T09:36:47.000Z,Create Transport Document,['co6'],['td3'],,
46,create_td4,2023-05-26T09:41:01.000Z,Create Transport Document,['co8'],['td4'],,
47,book_vehs_td3,2023-05-26T09:53:25.000Z,Book Vehicles,,['td3'],['vh5'],
48,book_vehs_td4,2023-05-26T12:00:47.000Z,Book Vehicles,,['td4'],"['vh1', 'vh6']",
49,order_crs_td2,2023-05-26T12:32:25.000Z,Order Empty Containers,,['td2'],,"['cr6', 'cr7', 'cr8']"
50,create_td5,2023-05-26T12:48:31.000Z,Create Transport Document,['co5'],['td5'],,
