,eid,activity,timestamp,CreatedBy,ApprovedBy,PostedBy,ScreenedBy,Outcome,Result,Decision,JobRequisition,HiringManager,Recruiter,Candidate,Assessment,Interviewer
0,E0000001,Create Job Requisition,2024-10-02 08:12:17.823636+00:00,HM003,,,,,,,['JR001'],['HM003'],,,,
1,E0000002,Approve Job Requisition,2024-10-02 08:32:17.823636+00:00,,HR,,,,,,['JR001'],,,,,
2,E0000003,Post Job Opening,2024-10-02 08:46:17.823636+00:00,,,R010,,,,,['JR001'],,['R010'],,,
3,E0000004,Create Job Requisition,2024-10-02 08:46:17.823636+00:00,HM008,,,,,,,['JR002'],['HM008'],,,,
4,E0000005,Approve Job Requisition,2024-10-02 09:24:17.823636+00:00,,HR,,,,,,['JR002'],,,,,
5,E0000006,Post Job Opening,2024-10-02 09:56:17.823636+00:00,,,R010,,,,,['JR002'],,['R010'],,,
6,E0000007,Create Job Requisition,2024-10-02 09:56:17.823636+00:00,HM019,,,,,,,['JR003'],['HM019'],,,,
7,E0000008,Approve Job Requisition,2024-10-02 10:43:17.823636+00:00,,HR,,,,,,['JR003'],,,,,
8,E0000009,Post Job Opening,2024-10-02 11:12:17.823636+00:00,,,R008,,,,,['JR003'],,['R008'],,,
9,E0000010,Create Job Requisition,2024-10-02 11:12:17.823636+00:00,HM019,,,,,,,['JR004'],['HM019'],,,,
10,E0000011,Approve Job Requisition,2024-10-02 12:02:17.823636+00:00,,HR,,,,,,['JR004'],,,,,
11,E0000012,Post Job Opening,2024-10-02 12:39:17.823636+00:00,,,R003,,,,,['JR004'],,['R003'],,,
12,E0000013,Create Job Requisition,2024-10-02 12:39:17.823636+00:00,HM001,,,,,,,['JR005'],['HM001'],,,,
13,E0000014,Approve Job Requisition,2024-10-02 13:33:17.823636+00:00,,HR,,,,,,['JR005'],,,,,
14,E0000015,Post Job Opening,2024-10-02 13:59:17.823636+00:00,,,R008,,,,,['JR005'],,['R008'],,,
15,E0000016,Create Job Requisition,2024-10-02 13:59:17.823636+00:00,HM009,,,,,,,['JR006'],['HM009'],,,,
16,E0000017,Approve Job Requisition,2024-10-02 14:38:17.823636+00:00,,HR,,,,,,['JR006'],,,,,
17,E0000018,Post Job Opening,2024-10-02 15:07:17.823636+00:00,,,R009,,,,,['JR006'],,['R009'],,,
18,E0000019,Create Job Requisition,2024-10-02 15:07:17.823636+00:00,HM019,,,,,,,['JR007'],['HM019'],,,,
19,E0000020,Approve Job Requisition,2024-10-02 15:29:17.823636+00:00,,HR,,,,,,['JR007'],,,,,
20,E0000021,Post Job Opening,2024-10-02 16:03:17.823636+00:00,,,R008,,,,,['JR007'],,['R008'],,,
21,E0000022,Create Job Requisition,2024-10-02 16:03:17.823636+00:00,HM002,,,,,,,['JR008'],['HM002'],,,,
22,E0000023,Approve Job Requisition,2024-10-02 16:43:17.823636+00:00,,HR,,,,,,['JR008'],,,,,
23,E0000024,Post Job Opening,2024-10-02 16:59:17.823636+00:00,,,R006,,,,,['JR008'],,['R006'],,,
24,E0000025,Create Job Requisition,2024-10-02 16:59:17.823636+00:00,HM006,,,,,,,['JR009'],['HM006'],,,,
25,E0000026,Approve Job Requisition,2024-10-02 17:24:17.823636+00:00,,HR,,,,,,['JR009'],,,,,
26,E0000027,Post Job Opening,2024-10-02 17:58:17.823636+00:00,,,R006,,,,,['JR009'],,['R006'],,,
27,E0000028,Create Job Requisition,2024-10-02 17:58:17.823636+00:00,HM016,,,,,,,['JR010'],['HM016'],,,,
28,E0000029,Approve Job Requisition,2024-10-02 18:44:17.823636+00:00,,HR,,,,,,['JR010'],,,,,
29,E0000030,Post Job Opening,2024-10-02 19:16:17.823636+00:00,,,R009,,,,,['JR010'],,['R009'],,,
30,E0000031,Create Job Requisition,2024-10-02 19:16:17.823636+00:00,HM017,,,,,,,['JR011'],['HM017'],,,,
31,E0000032,Approve Job Requisition,2024-10-02 20:02:17.823636+00:00,,HR,,,,,,['JR011'],,,,,
32,E0000033,Post Job Opening,2024-10-02 20:30:17.823636+00:00,,,R009,,,,,['JR011'],,['R009'],,,
33,E0000034,Create Job Requisition,2024-10-02 20:30:17.823636+00:00,HM015,,,,,,,['JR012'],['HM015'],,,,
34,E0000035,Approve Job Requisition,2024-10-02 21:24:17.823636+00:00,,HR,,,,,,['JR012'],,,,,
35,E0000036,Post Job Opening,2024-10-02 21:52:17.823636+00:00,,,R007,,,,,['JR012'],,['R007'],,,
36,E0000037,Create Job Requisition,2024-10-02 21:52:17.823636+00:00,HM009,,,,,,,['JR013'],['HM009'],,,,
37,E0000038,Approve Job Requisition,2024-10-02 22:03:17.823636+00:00,,HR,,,,,,['JR013'],,,,,
38,E0000039,Post Job Opening,2024-10-02 22:55:17.823636+00:00,,,R008,,,,,['JR013'],,['R008'],,,
39,E0000040,Create Job Requisition,2024-10-02 22:55:17.823636+00:00,HM006,,,,,,,['JR014'],['HM006'],,,,
40,E0000041,Approve Job Requisition,2024-10-02 23:30:17.823636+00:00,,HR,,,,,,['JR014'],,,,,
41,E0000042,Post Job Opening,2024-10-02 23:57:17.823636+00:00,,,R006,,,,,['JR014'],,['R006'],,,
42,E0000043,Create Job Requisition,2024-10-02 23:57:17.823636+00:00,HM019,,,,,,,['JR015'],['HM019'],,,,
43,E0000044,Approve Job Requisition,2024-10-03 00:07:17.823636+00:00,,HR,,,,,,['JR015'],,,,,
44,E0000045,Post Job Opening,2024-10-03 00:53:17.823636+00:00,,,R004,,,,,['JR015'],,['R004'],,,
45,E0000046,Create Job Requisition,2024-10-03 00:53:17.823636+00:00,HM014,,,,,,,['JR016'],['HM014'],,,,
46,E0000047,Approve Job Requisition,2024-10-03 01:46:17.823636+00:00,,HR,,,,,,['JR016'],,,,,
47,E0000048,Post Job Opening,2024-10-03 02:45:17.823636+00:00,,,R004,,,,,['JR016'],,['R004'],,,
48,E0000049,Create Job Requisition,2024-10-03 02:45:17.823636+00:00,HM016,,,,,,,['JR017'],['HM016'],,,,
49,E0000050,Approve Job Requisition,2024-10-03 03:42:17.823636+00:00,,HR,,,,,,['JR017'],,,,,
50,E0000051,Post Job Opening,2024-10-03 03:55:17.823636+00:00,,,R010,,,,,['JR017'],,['R010'],,,
51,E0000052,Create Job Requisition,2024-10-03 03:55:17.823636+00:00,HM003,,,,,,,['JR018'],['HM003'],,,,
52,E0000053,Approve Job Requisition,2024-10-03 04:43:17.823636+00:00,,HR,,,,,,['JR018'],,,,,
53,E0000054,Post Job Opening,2024-10-03 05:40:17.823636+00:00,,,R007,,,,,['JR018'],,['R007'],,,
54,E0000055,Create Job Requisition,2024-10-03 05:40:17.823636+00:00,HM016,,,,,,,['JR019'],['HM016'],,,,
55,E0000056,Approve Job Requisition,2024-10-03 06:21:17.823636+00:00,,HR,,,,,,['JR019'],,,,,
56,E0000057,Post Job Opening,2024-10-03 06:49:17.823636+00:00,,,R004,,,,,['JR019'],,['R004'],,,
57,E0000058,Create Job Requisition,2024-10-03 06:49:17.823636+00:00,HM012,,,,,,,['JR020'],['HM012'],,,,
58,E0000059,Approve Job Requisition,2024-10-03 07:48:17.823636+00:00,,HR,,,,,,['JR020'],,,,,
59,E0000060,Post Job Opening,2024-10-03 08:12:17.823636+00:00,,,R007,,,,,['JR020'],,['R007'],,,
60,E0000061,Create Job Requisition,2024-10-03 08:12:17.823636+00:00,HM014,,,,,,,['JR021'],['HM014'],,,,
61,E0000062,Approve Job Requisition,2024-10-03 09:00:17.823636+00:00,,HR,,,,,,['JR021'],,,,,
62,E0000063,Post Job Opening,2024-10-03 09:32:17.823636+00:00,,,R001,,,,,['JR021'],,['R001'],,,
63,E0000064,Create Job Requisition,2024-10-03 09:32:17.823636+00:00,HM011,,,,,,,['JR022'],['HM011'],,,,
64,E0000065,Approve Job Requisition,2024-10-03 09:56:17.823636+00:00,,HR,,,,,,['JR022'],,,,,
65,E0000066,Post Job Opening,2024-10-03 10:46:17.823636+00:00,,,R006,,,,,['JR022'],,['R006'],,,
66,E0000067,Create Job Requisition,2024-10-03 10:46:17.823636+00:00,HM011,,,,,,,['JR023'],['HM011'],,,,
67,E0000068,Approve Job Requisition,2024-10-03 11:08:17.823636+00:00,,HR,,,,,,['JR023'],,,,,
68,E0000069,Post Job Opening,2024-10-03 11:57:17.823636+00:00,,,R008,,,,,['JR023'],,['R008'],,,
69,E0000070,Create Job Requisition,2024-10-03 11:57:17.823636+00:00,HM004,,,,,,,['JR024'],['HM004'],,,,
70,E0000071,Approve Job Requisition,2024-10-03 12:23:17.823636+00:00,,HR,,,,,,['JR024'],,,,,
71,E0000072,Post Job Opening,2024-10-03 13:16:17.823636+00:00,,,R007,,,,,['JR024'],,['R007'],,,
72,E0000073,Create Job Requisition,2024-10-03 13:16:17.823636+00:00,HM006,,,,,,,['JR025'],['HM006'],,,,
73,E0000074,Approve Job Requisition,2024-10-03 14:14:17.823636+00:00,,HR,,,,,,['JR025'],,,,,
74,E0000075,Post Job Opening,2024-10-03 15:10:17.823636+00:00,,,R007,,,,,['JR025'],,['R007'],,,
75,E0000076,Create Job Requisition,2024-10-03 15:10:17.823636+00:00,HM011,,,,,,,['JR026'],['HM011'],,,,
76,E0000077,Approve Job Requisition,2024-10-03 16:09:17.823636+00:00,,HR,,,,,,['JR026'],,,,,
77,E0000078,Post Job Opening,2024-10-03 17:01:17.823636+00:00,,,R003,,,,,['JR026'],,['R003'],,,
78,E0000079,Create Job Requisition,2024-10-03 17:01:17.823636+00:00,HM014,,,,,,,['JR027'],['HM014'],,,,
79,E0000080,Approve Job Requisition,2024-10-03 17:54:17.823636+00:00,,HR,,,,,,['JR027'],,,,,
80,E0000081,Post Job Opening,2024-10-03 18:12:17.823636+00:00,,,R008,,,,,['JR027'],,['R008'],,,
81,E0000082,Create Job Requisition,2024-10-03 18:12:17.823636+00:00,HM016,,,,,,,['JR028'],['HM016'],,,,
82,E0000083,Approve Job Requisition,2024-10-03 19:02:17.823636+00:00,,HR,,,,,,['JR028'],,,,,
83,E0000084,Post Job Opening,2024-10-03 19:18:17.823636+00:00,,,R001,,,,,['JR028'],,['R001'],,,
84,E0000085,Create Job Requisition,2024-10-03 19:18:17.823636+00:00,HM010,,,,,,,['JR029'],['HM010'],,,,
85,E0000086,Approve Job Requisition,2024-10-03 20:08:17.823636+00:00,,HR,,,,,,['JR029'],,,,,
86,E0000087,Post Job Opening,2024-10-03 20:59:17.823636+00:00,,,R003,,,,,['JR029'],,['R003'],,,
87,E0000088,Create Job Requisition,2024-10-03 20:59:17.823636+00:00,HM013,,,,,,,['JR030'],['HM013'],,,,
88,E0000089,Approve Job Requisition,2024-10-03 21:11:17.823636+00:00,,HR,,,,,,['JR030'],,,,,
89,E0000090,Post Job Opening,2024-10-03 21:40:17.823636+00:00,,,R009,,,,,['JR030'],,['R009'],,,
90,E0000091,Create Job Requisition,2024-10-03 21:40:17.823636+00:00,HM018,,,,,,,['JR031'],['HM018'],,,,
91,E0000092,Approve Job Requisition,2024-10-03 22:40:17.823636+00:00,,HR,,,,,,['JR031'],,,,,
92,E0000093,Post Job Opening,2024-10-03 23:18:17.823636+00:00,,,R010,,,,,['JR031'],,['R010'],,,
93,E0000094,Create Job Requisition,2024-10-03 23:18:17.823636+00:00,HM002,,,,,,,['JR032'],['HM002'],,,,
94,E0000095,Approve Job Requisition,2024-10-03 23:30:17.823636+00:00,,HR,,,,,,['JR032'],,,,,
95,E0000096,Post Job Opening,2024-10-04 00:17:17.823636+00:00,,,R006,,,,,['JR032'],,['R006'],,,
96,E0000097,Create Job Requisition,2024-10-04 00:17:17.823636+00:00,HM015,,,,,,,['JR033'],['HM015'],,,,
97,E0000098,Approve Job Requisition,2024-10-04 00:50:17.823636+00:00,,HR,,,,,,['JR033'],,,,,
98,E0000099,Post Job Opening,2024-10-04 01:46:17.823636+00:00,,,R002,,,,,['JR033'],,['R002'],,,
99,E0000100,Create Job Requisition,2024-10-04 01:46:17.823636+00:00,HM003,,,,,,,['JR034'],['HM003'],,,,
100,E0000101,Approve Job Requisition,2024-10-04 02:04:17.823636+00:00,,HR,,,,,,['JR034'],,,,,
101,E0000102,Post Job Opening,2024-10-04 02:19:17.823636+00:00,,,R008,,,,,['JR034'],,['R008'],,,
102,E0000103,Create Job Requisition,2024-10-04 02:19:17.823636+00:00,HM011,,,,,,,['JR035'],['HM011'],,,,
103,E0000104,Approve Job Requisition,2024-10-04 02:47:17.823636+00:00,,HR,,,,,,['JR035'],,,,,
104,E0000105,Post Job Opening,2024-10-04 03:17:17.823636+00:00,,,R002,,,,,['JR035'],,['R002'],,,
105,E0000106,Create Job Requisition,2024-10-04 03:17:17.823636+00:00,HM009,,,,,,,['JR036'],['HM009'],,,,
106,E0000107,Approve Job Requisition,2024-10-04 04:14:17.823636+00:00,,HR,,,,,,['JR036'],,,,,
107,E0000108,Post Job Opening,2024-10-04 04:50:17.823636+00:00,,,R009,,,,,['JR036'],,['R009'],,,
108,E0000109,Create Job Requisition,2024-10-04 04:50:17.823636+00:00,HM011,,,,,,,['JR037'],['HM011'],,,,
109,E0000110,Approve Job Requisition,2024-10-04 05:11:17.823636+00:00,,HR,,,,,,['JR037'],,,,,
110,E0000111,Post Job Opening,2024-10-04 05:33:17.823636+00:00,,,R008,,,,,['JR037'],,['R008'],,,
111,E0000112,Create Job Requisition,2024-10-04 05:33:17.823636+00:00,HM004,,,,,,,['JR038'],['HM004'],,,,
112,E0000113,Approve Job Requisition,2024-10-04 05:51:17.823636+00:00,,HR,,,,,,['JR038'],,,,,
113,E0000114,Post Job Opening,2024-10-04 06:51:17.823636+00:00,,,R001,,,,,['JR038'],,['R001'],,,
114,E0000115,Create Job Requisition,2024-10-04 06:51:17.823636+00:00,HM013,,,,,,,['JR039'],['HM013'],,,,
115,E0000116,Approve Job Requisition,2024-10-04 07:35:17.823636+00:00,,HR,,,,,,['JR039'],,,,,
116,E0000117,Post Job Opening,2024-10-04 08:08:17.823636+00:00,,,R003,,,,,['JR039'],,['R003'],,,
117,E0000118,Create Job Requisition,2024-10-04 08:08:17.823636+00:00,HM017,,,,,,,['JR040'],['HM017'],,,,
118,E0000119,Approve Job Requisition,2024-10-04 08:51:17.823636+00:00,,HR,,,,,,['JR040'],,,,,
119,E0000120,Post Job Opening,2024-10-04 09:33:17.823636+00:00,,,R007,,,,,['JR040'],,['R007'],,,
120,E0000121,Create Job Requisition,2024-10-04 09:33:17.823636+00:00,HM001,,,,,,,['JR041'],['HM001'],,,,
121,E0000122,Approve Job Requisition,2024-10-04 10:00:17.823636+00:00,,HR,,,,,,['JR041'],,,,,
122,E0000123,Post Job Opening,2024-10-04 10:20:17.823636+00:00,,,R003,,,,,['JR041'],,['R003'],,,
123,E0000124,Create Job Requisition,2024-10-04 10:20:17.823636+00:00,HM018,,,,,,,['JR042'],['HM018'],,,,
124,E0000125,Approve Job Requisition,2024-10-04 10:46:17.823636+00:00,,HR,,,,,,['JR042'],,,,,
125,E0000126,Post Job Opening,2024-10-04 11:26:17.823636+00:00,,,R002,,,,,['JR042'],,['R002'],,,
126,E0000127,Create Job Requisition,2024-10-04 11:26:17.823636+00:00,HM015,,,,,,,['JR043'],['HM015'],,,,
127,E0000128,Approve Job Requisition,2024-10-04 11:54:17.823636+00:00,,HR,,,,,,['JR043'],,,,,
128,E0000129,Post Job Opening,2024-10-04 12:51:17.823636+00:00,,,R008,,,,,['JR043'],,['R008'],,,
