,eid,timestamp,lifecycle,resource,activity,material,purchase_requisition,quotation,purchase_order,goods_receipt,invoice_receipt,payment
0,event:1,2022-04-01T09:26:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:3', 'material:1', 'material:0', 'material:2']",['purchase_requisition:0:pr_trigger_0'],,,,,
1,event:3,2022-04-02T14:16:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:3', 'material:1', 'material:0', 'material:2']",['purchase_requisition:0:pr_trigger_0'],,,,,
2,event:9,2022-04-04T08:37:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:6', 'material:5', 'material:4']",['purchase_requisition:1:pr_trigger_1'],,,,,
3,event:11,2022-04-04T09:25:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,['material:13'],['purchase_requisition:4:pr_trigger_4'],,,,,
4,event:13,2022-04-04T09:44:00.000Z,complete,Manufacturing Department,Delegate Purchase Requisition Approval,"['material:6', 'material:5', 'material:4']",['purchase_requisition:1:pr_trigger_1'],,,,,
5,event:15,2022-04-04T10:42:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:11', 'material:12']",['purchase_requisition:3:pr_trigger_3'],,,,,
6,event:17,2022-04-04T11:07:00.000Z,complete,Manufacturing Department,Delegate Purchase Requisition Approval,"['material:11', 'material:12']",['purchase_requisition:3:pr_trigger_3'],,,,,
7,event:19,2022-04-04T15:30:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:9', 'material:10', 'material:7', 'material:8']",['purchase_requisition:2:pr_trigger_2'],,,,,
8,event:22,2022-04-05T16:09:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:3:pr_trigger_3'],['quotation:2'],,,,
9,event:23,2022-04-05T21:53:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:0:pr_trigger_0'],['quotation:0'],,,,
10,event:29,2022-04-06T07:45:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:0'],['purchase_order:2'],,,
11,event:31,2022-04-06T08:20:00.000Z,complete,Procurement Requisition Manager,Approve Purchase Requisition,"['material:9', 'material:10', 'material:7', 'material:8']",['purchase_requisition:2:pr_trigger_2'],,,,,
12,event:33,2022-04-06T09:23:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:2'],['purchase_order:0'],,,
13,event:35,2022-04-06T09:49:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:1:pr_trigger_1'],['quotation:1'],,,,
14,event:37,2022-04-06T12:06:00.000Z,complete,Procurement Department,Create Purchase Order,,,['quotation:0'],['purchase_order:3'],,,
15,event:39,2022-04-06T12:26:00.000Z,complete,Manufacturing Department,Create Purchase Requisition,"['material:16', 'material:17', 'material:18']",['purchase_requisition:6:pr_trigger_6'],,,,,
16,event:41,2022-04-06T13:45:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:2:pr_trigger_2'],['quotation:4'],,,,
17,event:44,2022-04-06T16:03:00.000Z,complete,Procurement Department,Create Request for Quotation,,['purchase_requisition:5:pr_trigger_5'],['quotation:3'],,,,
